Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade de Ciências Contábeis de Lucélia;Cealpa;SP;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Navirai;FACINAV;MS;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Nova Andradina - Facinan;FACINAN;MS;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Ponta Porã;FCCPP;MS;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Ponte Nova;FACCO;MG;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Recife;FACCOR;PE;SCHOLARLY;;;
Faculdade de Ciências Contábeis e Administrativas de Avaré;IESA/FACCAA;SP;SCHOLARLY;;;
Faculdade de Ciências Contábeis e Administrativas de Cachoeiro do Itapemirim;FACCACI;ES;SCHOLARLY;;;
Faculdade de Ciências Contábeis e Administrativas São Judas Tadeu;FCCASJT;RS;SCHOLARLY;;;
Faculdade de Ciências Contábeis e de Administração de Empresas;FCCAE;RJ;SCHOLARLY;;;
Faculdade de Ciências Contábeis e de Administração do Vale do Juruena;AJES;MT;SCHOLARLY;;;
Faculdade de Ciências Contábeis Luiz Mendes;LUMEN Faculdades;PB;SCHOLARLY;;;
Faculdade de Ciências da Administração de Garanhuns;FAGA;PE;SCHOLARLY;;;
Faculdade de Ciências da Administração do Limoeiro;FACAL;PE;SCHOLARLY;;;
Faculdade de Ciências da Fundação Instituto Tecnológico de Osasco;FAC-FITO;SP;SCHOLARLY;;;
Faculdade de Ciências da Saúde;FASU;SP;SCHOLARLY;;;
Faculdade de Ciências da Saúde Archimedes Theodoro;FAC - SAUDE ARTHE;MG;SCHOLARLY;;;
Faculdade de Ciências da Saúde da Serra;FABAVI;ES;SCHOLARLY;;;
Faculdade de Ciências da Saúde de Campos Gerais;FACICA;MG;SCHOLARLY;;;
Faculdade de Ciências da Saúde de São Paulo;FACIS;SP;SCHOLARLY;;;
Faculdade de Ciências de Brasília - Facibra;PROJEÇÃO;DF;SCHOLARLY;;;
Faculdade de Ciências de Guarulhos;Facig;SP;SCHOLARLY;;;
Faculdade de Ciências de Timbaúba;FACET;PE;SCHOLARLY;;;
Faculdade de Ciências de Wenceslau Braz;FACIBRA;PR;SCHOLARLY;;;
Faculdade de Ciências e Educação de Rubiataba;FACER;GO;SCHOLARLY;;;
Faculdade de Ciências e Educação do Espírito Santo;UNIVES;ES;SCHOLARLY;;;
Faculdade de Ciências e Educação Sena Aires;FACESA;GO;SCHOLARLY;;;
Faculdade de Ciências e Letras;Academia de Ensino;SP;SCHOLARLY;;;
Faculdade de Ciências e Letras de Bragança Paulista;FESB;SP;SCHOLARLY;;;
Faculdade de Ciências e Tecnologia de Birigui;FATEB;SP;SCHOLARLY;;;
Faculdade de Ciências e Tecnologia de Teresina;FACET;PI;SCHOLARLY;;;
Faculdade de Ciências e Tecnologia de Unaí - Factu;FACTU;MG;SCHOLARLY;;;
Faculdade de Ciências e Tecnologia Mater Christi;MATER CHRISTI;RN;SCHOLARLY;;;
Faculdade de Ciências Econômicas;Facamp;SP;SCHOLARLY;;;
Faculdade de Ciências Econômicas da Região Carbonífera;FACIERC;SC;SCHOLARLY;;;
Faculdade de Ciências Econômicas de Bauru;FCEB;SP;SCHOLARLY;;;
Faculdade de Ciências Econômicas de Conselheiro Lafaiete;FACEL;MG;SCHOLARLY;;;
Faculdade de Ciências Econômicas do Triângulo Mineiro;FCETM;MG;SCHOLARLY;;;
Faculdade de Ciências Econômicas e Administrativas de Vila Velha;UNIVILA;ES;SCHOLARLY;;;
Faculdade de Ciências Econômicas e Administrativas Santa Rita de Cássia;FACEAS;SP;SCHOLARLY;;;
Faculdade de Ciências Econômicas, Administrativas e Contábeis de Divinópolis;FACED;MG;SCHOLARLY;;;
Faculdade de Ciências Econômicas, Administrativas e Contábeis de São Sebastião d;FACEAC;MG;SCHOLARLY;;;
Faculdade de Ciências Econômicas, Administrativas e da Computação Dom Bosco;FCEACDB;RJ;SCHOLARLY;;;
Faculdade de Ciências Educacionais;FACE;BA;SCHOLARLY;;;
Faculdade de Ciências Educacionais e Sistemas Integrados;FACESI;PR;SCHOLARLY;;;
Faculdade de Ciências Empresariais;FACEMP;BA;SCHOLARLY;;;
Faculdade de Ciências Empresariais e Estudos Costeiros de Natal;FACEN;RN;SCHOLARLY;;;
Faculdade de Ciências Exatas;FAVALE;MG;SCHOLARLY;;;
Faculdade de Ciências Exatas e Humanas da Campanha;FCCP;MG;SCHOLARLY;;;
Faculdade de Ciências Exatas e Tecnológicas de União da Vitória;UNIGUAÇU;PR;SCHOLARLY;;;
Faculdade de Ciências Exatas e Tecnológicas Santo Agostinho - Facet;FACET;MG;SCHOLARLY;;;
Faculdade de Ciências Gerenciais;FACIG;SP;SCHOLARLY;;;
Faculdade de Ciências Gerenciais;FAITA;SP;SCHOLARLY;;;
Faculdade de Ciências Gerenciais;FACIG;MG;SCHOLARLY;;;
Faculdade de Ciências Gerenciais - Cotia;FCG - Cotia;SP;SCHOLARLY;;;
Faculdade de Ciências Gerenciais Alves Fortes;FACE - ALFOR;MG;SCHOLARLY;;;
Faculdade de Ciências Gerenciais da Bahia;UNICENID;BA;SCHOLARLY;;;
Faculdade de Ciências Gerenciais de Bicas;FCGB;MG;SCHOLARLY;;;
Faculdade de Ciências Gerenciais de Dracena;FCGD;SP;SCHOLARLY;;;
Faculdade de Ciências Gerenciais de Manhuaçu;FACIG;MG;SCHOLARLY;;;
Faculdade de Ciências Gerênciais de Vilhena;FCGV;RO;SCHOLARLY;;;
Faculdade de Ciências Gerenciais Padre Arnaldo Janssen;FAJANSSEN;MG;SCHOLARLY;;;
Faculdade de Ciências Gerencias de São Gotardo;CESG;MG;SCHOLARLY;;;
Faculdade de Ciências Humanas;IMENSU;SP;SCHOLARLY;;;
Faculdade de Ciências Humanas de Aguaí;Facha;SP;SCHOLARLY;;;
Faculdade de Ciências Humanas de Curvelo;FEC;MG;SCHOLARLY;;;
Faculdade de Ciências Humanas de Fortaleza;FCHFOR;CE;SCHOLARLY;;;
Faculdade de Ciências Humanas de Garça;FAHU;SP;SCHOLARLY;;;
Faculdade de Ciências Humanas de Itabira;FACHI;MG;SCHOLARLY;;;
Faculdade de Ciências Humanas de Olinda;FACHO;PE;SCHOLARLY;;;
Faculdade de Ciências Humanas de Pernambuco;FCHPE;PE;SCHOLARLY;;;
Faculdade de Ciências Humanas de Vitória;FCHV;ES;SCHOLARLY;;;
Faculdade de Ciências Humanas do Sertão Central;FACHUSC;PE;SCHOLARLY;;;
Faculdade de Ciências Humanas do Sul Paulista;FACHI;SP;SCHOLARLY;;;
Faculdade de Ciências Humanas do Vale do Rio Grande;FCHVRG;SP;SCHOLARLY;;;
Faculdade de Ciências Humanas e Biológicas e da Saúde;UNICEN;MT;SCHOLARLY;;;
Faculdade de Ciências Humanas e da Saúde;SESPA;MG;SCHOLARLY;;;
Faculdade de Ciências Humanas e Jurídicas de Teresina;FCHJT;PI;SCHOLARLY;;;
Faculdade de Ciências Humanas e Sociais;FCHS;RJ;SCHOLARLY;;;
Faculdade de Ciências Humanas e Sociais;FUCAMP;MG;SCHOLARLY;;;
Faculdade de Ciências Humanas e Sociais;Faculdade AGES;BA;SCHOLARLY;;;
Faculdade de Ciências Humanas e Sociais Aplicadas;FACSÃOLUÍS;MA;SCHOLARLY;;;
Faculdade de Ciências Humanas e Sociais Aplicadas do Cabo de Santo Agostinho;FACHUCA;PE;SCHOLARLY;;;
Faculdade de Ciências Humanas e Sociais de Igarassu;FACIG;PE;SCHOLARLY;;;
Faculdade de Ciências Humanas Esuda;FCHE;PE;SCHOLARLY;;;
Faculdade de Ciências Humanas, Biológicas e da Saúde;FCHBS;RR;SCHOLARLY;;;
Faculdade de Ciências Humanas, Econômicas e da Saúde de Araguaína;FAHESA / ITPAC;TO;SCHOLARLY;;;
Faculdade de Ciências Humanas, Exatas e Letras de Rondônia;FARO;RO;SCHOLARLY;;;
Faculdade de Ciências Jurídicas de Diamantina;FCJ;MG;SCHOLARLY;;;
Faculdade de Ciências Jurídicas de Juiz de Fora;Faculdades Doctum;MG;SCHOLARLY;;;
Faculdade de Ciências Jurídicas de Paraíso do Tocantins;FCJP;TO;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Gerenciais de Garça;FAEG;SP;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Gerenciais de Manhuaçu;Faculdades Doctum;MG;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Gerenciais de Oliveira;FACIJUGO;MG;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Sociais Aplicadas de Primavera do Leste;UNICEN;MT;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Sociais Aplicadas do Araguaia;Faculdades Cathedral;MT;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Sociais Aplicadas Rio Branco - Firb;FIRB;AC;SCHOLARLY;;;
Faculdade de Ciências Jurídicas e Sociais de Maceió;FAMA;AL;SCHOLARLY;;;
Faculdade de Ciências Jurídicas, Gerenciais e Educação de Sinop;FIS;MT;SCHOLARLY;;;
Faculdade de Ciências Médicas da Paraíba;FCM-PB;PB;SCHOLARLY;;;
Faculdade de Ciências Médicas da Santa Casa São Paulo;FCMSCSP;SP;SCHOLARLY;;;
Faculdade de Ciências Médicas de Campina Grande;FCM;PB;SCHOLARLY;;;
Faculdade de Ciências Médicas de Minas Gerais;FCMMG;MG;SCHOLARLY;;;
Faculdade de Ciências Médicas e da Saúde de Juiz de Fora;FCMS/JF;MG;SCHOLARLY;;;
Faculdade de Ciências Médicas e Paramédicas Fluminense;SEFLU;RJ;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas;FACISA;BA;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas;UNICEN;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas;UNIC;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas;FACISA - CELER;SC;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas - Facisa;FACISA;PB;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas de Belo Horizonte;FACISABH;MG;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas de Cascavel;FCSAC;PR;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas de Conselheiro Lafaiete;FACESA;MG;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas de Extrema;FAEX;MG;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas de Sinop;FACISAS;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas de União da Vitória;UNIGUAÇU;PR;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas do Sul de Minas - Facesm;FACESM;MG;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas do Vale do São Lourenço;EDUVALE;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas IBMEC;Faculdades Ibmec;RJ;SCHOLARLY;;;
Faculdade de Ciências Sociais Aplicadas Santo Agostinho;FACISA;MG;SCHOLARLY;;;
Faculdade de Ciências Sociais de Florianópolis;FCSF;SC;SCHOLARLY;;;
Faculdade de Ciências Sociais de Guarantã do Norte;FCSGN;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais de Ibiraçu;UNIVILA;ES;SCHOLARLY;;;
Faculdade de Ciências Sociais dos Palmares;FACIP;PE;SCHOLARLY;;;
Faculdade de Ciências Sociais e Agrárias de Itapeva;FAIT;SP;SCHOLARLY;;;
Faculdade de Ciências Sociais e Aplicadas de Diamantino;UNED;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais e Aplicadas do Paraná;FACET;PR;SCHOLARLY;;;
Faculdade de Ciências Sociais e Humanas Sobral Pinto;FAIESP;MT;SCHOLARLY;;;
Faculdade de Ciências Sociais e Tecnológicas FACITEC;FACITEC;DF;SCHOLARLY;;;
Faculdade de Ciências, Cultura e Extensão do Rio Grande do Norte;FACEX;RN;SCHOLARLY;;;
Faculdade de Ciências, Educação e Teologia do Norte do Brasil;FACETEN;RR;SCHOLARLY;;;
Faculdade de Ciências, Letras e Educação do Noroeste do Paraná;FACINOR;PR;SCHOLARLY;;;
Faculdade de Colider;FACIDER;MT;SCHOLARLY;;;
Faculdade de Computação e Informática da Fundação Alvares Penteado;FCI-FAAP;SP;SCHOLARLY;;;
Faculdade de Comunicação e Marketing da - Fundação Armando Álvares Penteado;FACOM-FAAP;SP;SCHOLARLY;;;
Faculdade de Comunicação Social de Guarapari;FACOM;ES;SCHOLARLY;;;
Faculdade de Comunicação Social de Hortolândia;FCSH;SP;SCHOLARLY;;;
Faculdade de Comunicação Social de Passos;FACOMP;MG;SCHOLARLY;;;
Faculdade de Comunicação Social Jk;Faculdade JK;DF;SCHOLARLY;;;
Faculdade de Desenho de Tatuí;FDT;SP;SCHOLARLY;;;
Faculdade de Desenho Industrial de Mauá;FADIM;SP;SCHOLARLY;;;
Faculdade de Desenvolvimento e Integração Regional;FADIRE;PE;SCHOLARLY;;;
Faculdade de Desenvolvimento Sustentável de Cruzeiro do Sul;IEVAL;AC;SCHOLARLY;;;
Faculdade de Direito da Alta Paulista;FADAP;SP;SCHOLARLY;;;
Faculdade de Direito da Fundação Armando Alvares Penteado;FAD-FAAP;SP;SCHOLARLY;;;
Faculdade de Direito da Serra;FABAVI;ES;SCHOLARLY;;;
Faculdade de Direito de Araguaína;ITPAC;TO;SCHOLARLY;;;
Faculdade de Direito de Bauru;FDB;SP;SCHOLARLY;;;
Faculdade de Direito de Boa Vista;FDBV;RR;SCHOLARLY;;;
Faculdade de Direito de Caruaru;FADICA;PE;SCHOLARLY;;;
Faculdade de Direito de Conselheiro Lafaiete;FDCL;MG;SCHOLARLY;;;
Faculdade de Direito de Franca;FDF;SP;SCHOLARLY;;;
Faculdade de Direito de Itabira;FDI;MG;SCHOLARLY;;;
Faculdade de Direito de Itú;FADITU;SP;SCHOLARLY;;;
Faculdade de Direito de Mogi Mirim;FDMM;SP;SCHOLARLY;;;
Faculdade de Direito de Passos;FADIPA;MG;SCHOLARLY;;;
Faculdade de Direito de Pedro Leopoldo;FADIPEL;MG;SCHOLARLY;;;
Faculdade de Direito de Porto Alegre;FADIPA;RS;SCHOLARLY;;;
Faculdade de Direito de Santa Maria;FADISMA;RS;SCHOLARLY;;;
Faculdade de Direito de São Sebastião do Paraíso;DIREITO;MG;SCHOLARLY;;;
Faculdade de Direito de Sorocaba;FADI;SP;SCHOLARLY;;;
Faculdade de Direito de Tangará da Serra;UNIC;MT;SCHOLARLY;;;
Faculdade de Direito de Varginha - Fadiva;FADIVA;MG;SCHOLARLY;;;
Faculdade de Direito de Vila Velha;UNIVILA;ES;SCHOLARLY;;;
Faculdade de Direito do Sul de Minas;FDSM;MG;SCHOLARLY;;;
Faculdade de Direito do Vale do Rio Doce;FADIVALE;MG;SCHOLARLY;;;
Faculdade de Direito e Ciências Sociais do Leste de Minas - Fadileste;FADILESTE;MG;SCHOLARLY;;;
Faculdade de Direito Francisco Beltrão;CESUL;PR;SCHOLARLY;;;
Faculdade de Direito Milton Campos;FDMC;MG;SCHOLARLY;;;
Faculdade de Direito Padre Arnaldo Janssen;FAJANSSEN;MG;SCHOLARLY;;;
Faculdade de Direito Professor Damásio de Jesus;FDDJ;SP;SCHOLARLY;;;
Faculdade de Direito Promove;Promove;MG;SCHOLARLY;;;
Faculdade de Direito Santo Agostinho;FADISA;MG;SCHOLARLY;;;
Faculdade de Direito São Judas Tadeu de Porto Alegre;SJT;RS;SCHOLARLY;;;
Faculdade de Domingos Martins;URSES;ES;SCHOLARLY;;;
Faculdade de Economia da Fundação Armando Alvares Penteado;FEC-FAAP;SP;SCHOLARLY;;;
Faculdade de Economia e Finanças do Rio de Janeiro;FEFRJ;RJ;SCHOLARLY;;;
Faculdade de Economia e Finanças IBMEC;Faculdades Ibmec;RJ;SCHOLARLY;;;
Faculdade de Economia e Processamento de Dados de Foz do Iguaçu;FEPI;PR;SCHOLARLY;;;
Faculdade de Educação Ciências e Artes Dom Bosco de Monte Aprazível;FAECA DOM BOSCO;SP;SCHOLARLY;;;
Faculdade de Educação Ciências e Letras de Paraíso;FECIPAR;TO;SCHOLARLY;;;
Faculdade de Educação Ciências e Letras de Ponta Porã;FECLEPP;MS;SCHOLARLY;;;
Faculdade de Educação Ciências e Letras Don Domênico;FECLE;SP;SCHOLARLY;;;
Faculdade de Educação Costa Braga;FCB;SP;SCHOLARLY;;;
Faculdade de Educação da Serra;FASE;ES;SCHOLARLY;;;
Faculdade de Educação de Alta Floresta;FEAFLOR;MT;SCHOLARLY;;;
Faculdade de Educação de Assis;FAEDA;SP;SCHOLARLY;;;
Faculdade de Educação de Bom Despacho;FACEB;MG;SCHOLARLY;;;
Faculdade de Educação de Colorado do Oeste;FAEC;RO;SCHOLARLY;;;
Faculdade de Educação de Costa Rica;FECRA;MS;SCHOLARLY;;;
Faculdade de Educação de Guaratinguetá;FACEG;SP;SCHOLARLY;;;
Faculdade de Educação de Itaboraí;FEITA;RJ;SCHOLARLY;;;
Faculdade de Educação de Jaru;UNICENTRO;RO;SCHOLARLY;;;
Faculdade de Educação de Nova Andradina;FENA;MS;SCHOLARLY;;;
Faculdade de Educação de Osvaldo Cruz;FEOCRUZ;SP;SCHOLARLY;;;
Faculdade de Educação de Porto Velho;UNIRON;RO;SCHOLARLY;;;
Faculdade de Educação de Tangará da Serra;FACEDUTS;MT;SCHOLARLY;;;
Faculdade de Educação de Vitória;UNIVES - AUFES;ES;SCHOLARLY;;;
Faculdade de Educação e Ciências Administrativas de Vilhena;FECAV;RO;SCHOLARLY;;;
Faculdade de Educação e Ciências Gerenciais de Indaiatuba;FECGI;SP;SCHOLARLY;;;
Faculdade de Educação e Ciências Gerenciais de São Paulo;FECG-SP;SP;SCHOLARLY;;;
Faculdade de Educação e Ciências Gerenciais de Sumaré;FECGS;SP;SCHOLARLY;;;
Faculdade de Educação e Ciências Humanas de Anicuns;FECHA;GO;SCHOLARLY;;;
Faculdade de Educação e Cultura Montessori;FAMEC;SP;SCHOLARLY;;;
Faculdade de Educação e Tecnologia da Região Missioneira;FETREMIS;RS;SCHOLARLY;;;
Faculdade de Educação Física da Associação Cristã de Moços de Sorocaba;FEFISO;SP;SCHOLARLY;;;
Faculdade de Educação Física de Araguaína;ITPAC;TO;SCHOLARLY;;;
Faculdade de Educação Física de Barra Bonita;FAEFI;SP;SCHOLARLY;;;
Faculdade de Educação Física de Foz do Iguaçu;FEPI;PR;SCHOLARLY;;;
Faculdade de Educação Física Montenegro;FAEFM;BA;SCHOLARLY;;;
Faculdade de Educação Montenegro;FAEM;BA;SCHOLARLY;;;
Faculdade de Educação São Francisco;FAESF;MA;SCHOLARLY;;;
Faculdade de Educação São Luís;FESL;SP;SCHOLARLY;;;
Faculdade de Educação Silva Serpa;FASS;RJ;SCHOLARLY;;;
Faculdade de Educação Superior de Timbaúba;FAEST;PE;SCHOLARLY;;;
Faculdade de Educação Superior do Piemonte da Chapada;FESPC;BA;SCHOLARLY;;;
Faculdade de Educação Thereza Porto Marques;FAETEC;SP;SCHOLARLY;;;
Faculdade de Educação, Administração e Tecnologia de Ibaiti;FEATI;PR;SCHOLARLY;;;
Faculdade de Educação, Ciências e Letras São Judas Tadeu;FECLSJT;RS;SCHOLARLY;;;
Faculdade de Enfermagem;ITPAC;TO;SCHOLARLY;;;
Faculdade de Enfermagem de Arcoverde;FENFA;PE;SCHOLARLY;;;
Faculdade de Enfermagem de Belo Jardim;FAEB;PE;SCHOLARLY;;;
Faculdade de Enfermagem de Passos;FAENPA;MG;SCHOLARLY;;;
Faculdade de Enfermagem do Hospital Israelita Albert Einstein;FEHIAE;SP;SCHOLARLY;;;
Faculdade de Enfermagem Luiza de Marillac;FELM;RJ;SCHOLARLY;;;
Faculdade de Enfermagem Nova Esperança;FACENE;PB;SCHOLARLY;;;
Faculdade de Enfermagem São Vicente de Paula;FESVIP;PB;SCHOLARLY;;;
Faculdade de Engenharia da Fundação Armando Alvares Penteado;FEFAAP;SP;SCHOLARLY;;;
Faculdade de Engenharia de Minas Gerais - Feamig;FEAMIG;MG;SCHOLARLY;;;
Faculdade de Engenharia de Passos;FEP;MG;SCHOLARLY;;;
Faculdade de Engenharia de Resende;FER;RJ;SCHOLARLY;;;
Faculdade de Engenharia de Sorocaba;FACENS;SP;SCHOLARLY;;;
Faculdade de Engenharia e Agrimensura de Pirassununga - Feap;FEAP;SP;SCHOLARLY;;;
Faculdade de Engenharia e Tecnologia do Instituto Mairiporã de Ensino Superior;IMENSU-FET;SP;SCHOLARLY;;;
Faculdade de Engenharia São Paulo;FESP;SP;SCHOLARLY;;;
Faculdade de Engenharia Souza Marques;FESM;RJ;SCHOLARLY;;;
Faculdade de Ensino Superior da Amazônia Reunida;FESAR;PA;SCHOLARLY;;;
Faculdade de Ensino Superior da Cidade de Feira de Santana;FAESF/UNEF;BA;SCHOLARLY;;;
Faculdade de Ensino Superior da Paraíba;FESP;PB;SCHOLARLY;;;
Faculdade de Ensino Superior de Catalão;Faculdade CESUC;GO;SCHOLARLY;;;
Faculdade de Ensino Superior de Floriano;FAESF;PI;SCHOLARLY;;;
Faculdade de Ensino Superior de Marechal Cândido Rondon;ISEPE RONDON;PR;SCHOLARLY;;;
Faculdade de Ensino Superior de São Miguel do Iguaçu;FAESI;PR;SCHOLARLY;;;
Faculdade de Ensino Superior do Centro do Paraná;UCP;PR;SCHOLARLY;;;
Faculdade de Ensino Superior do Piauí;FAESPI;PI;SCHOLARLY;;;
Faculdade de Ensino Superior Dom Bosco;FACDOMBOSCO;PR;SCHOLARLY;;;
Faculdade de Estudos Administrativos de Minas Gerais - Fead-Mg;FEAD - MG;MG;SCHOLARLY;;;
Faculdade de Estudos Avançados do Pará;FEAPA;PA;SCHOLARLY;;;
Faculdade de Estudos Sociais Aplicados de Viana;FESAV;ES;SCHOLARLY;;;
Faculdade de Estudos Sociais de Barra do Garças;FESB;MT;SCHOLARLY;;;
Faculdade de Estudos Sociais do Espírito Santo;PIO XII;ES;SCHOLARLY;;;
Faculdade de Estudos Superiores de Minas Gerais;FEAD;MG;SCHOLARLY;;;
Faculdade de Farmácia e Bioquímica;ITPAC;TO;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Carlos Queiroz;FAFIQUE;SP;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Alegre;FAFIA;ES;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Caruaru;FAFICA;PE;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Congonhas;FAFIC;MG;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Ituverava;FFCL;SP;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Macaé;FAFIMA;RJ;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Mandaguari;FAFIMAN;PR;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Penápolis;FAFIPE;SP;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Presidente Venceslau;FAFIPREVE;SP;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de São José do Rio Pardo;FFCL;SP;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras de Tatuí;FAFICILE;SP;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Deputado José Laviola;FAFICIL;MG;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Dom Bosco;FFCLDB;RJ;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Nossa Senhora de Sion;FAFI/SION;MG;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Professora Nair Fortes Abu-Merhy;FAFI - PRONAFOR;MG;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Santa Marcelina;FAFISM;MG;SCHOLARLY;;;
Faculdade de Filosofia Ciências e Letras Souza Marques;FFCLSM;RJ;SCHOLARLY;;;
Faculdade de Filosofia de Passos;FAFIPA;MG;SCHOLARLY;;;
Faculdade de Filosofia e Ciências Humanas de Goiatuba;FAFICH;GO;SCHOLARLY;;;
Faculdade de Filosofia e Letras de Diamantina;FAFIDIA;MG;SCHOLARLY;;;
Faculdade de Filosofia e Teologia Paulo Vi;FFTP;SP;SCHOLARLY;;;
Faculdade de Filosofia Santa Dorotéia;FFSD;RJ;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Boa Esperança;FAFIBE;MG;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Cajazeiras;FAFIC;PB;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Carangola;FAVALE;MG;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Duque de Caxias;FFCLDC;RJ;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Ibitinga;FAIBI;SP;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Itapetininga;FFCLI;SP;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras de Piraju;FAFIP;SP;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras do Alto São Francisco;FASF;MG;SCHOLARLY;;;
Faculdade de Filosofia, Ciências e Letras Nossa Senhora Aparecida;FNSA;SP;SCHOLARLY;;;
Faculdade de Formação de Professores da Mata Sul;FAMASUL;PE;SCHOLARLY;;;
Faculdade de Formação de Professores de Afogados da Ingazeira;FAFOPAI;PE;SCHOLARLY;;;
Faculdade de Formação de Professores de Araripina;FAFOPA;PE;SCHOLARLY;;;
Faculdade de Formação de Professores de Belo Jardim;FABEJA;PE;SCHOLARLY;;;
Faculdade de Formação de Professores de Goiana;F.F.P.G.;PE;SCHOLARLY;;;
Faculdade de Formação de Professores de Penedo;FFPP;AL;SCHOLARLY;;;
Faculdade de Formação de Professores de Serra Talhada;FAFOPST;PE;SCHOLARLY;;;
Faculdade de Formação de Professores e Especialistas de Educação;FAFOPEE;RS;SCHOLARLY;;;
Faculdade de Getúlio Vargas;FACULDADE IDEAU;RS;SCHOLARLY;;;
Faculdade de Guaçuí;UVV Guaçuí;ES;SCHOLARLY;;;
Faculdade de Guanambi;;BA;SCHOLARLY;;;
Faculdade de Guararapes;FAG;SP;SCHOLARLY;;;
Faculdade de Ilha Solteira;FAISA;SP;SCHOLARLY;;;
Faculdade de Imperatriz;FACIMP;MA;SCHOLARLY;;;
Faculdade de Informática de Passos;FIP;MG;SCHOLARLY;;;
Faculdade de Informática e Administração Paulista;FIAP;SP;SCHOLARLY;;;
Faculdade de Informática Lemos de Castro;FILC;RJ;SCHOLARLY;;;
Faculdade de Integração do Ensino Superior do Cone Sul;FISUL;RS;SCHOLARLY;;;
Faculdade de Integração do Sertão;FIS;PE;SCHOLARLY;;;
Faculdade de Iporá;FAI;GO;SCHOLARLY;;;
Faculdade de Itaituba;FAI;PA;SCHOLARLY;;;
Faculdade de Itapiranga;SEI/FAI;SC;SCHOLARLY;;;
Faculdade de Itápolis - Facita;FACITA;SP;SCHOLARLY;;;
Faculdade de Jaboticabal;Fajab;SP;SCHOLARLY;;;
Faculdade de Jaguariúna;FAJ;SP;SCHOLARLY;;;
Faculdade de Jandaia do Sul;FAFIJAN;PR;SCHOLARLY;;;
Faculdade de José Bonifácio;FJB;SP;SCHOLARLY;;;
Faculdade de Juazeiro do Norte;FJN;CE;SCHOLARLY;;;
Faculdade de Jussara;FAJ;GO;SCHOLARLY;;;
Faculdade de Letras de Nova Andradina;FALENA;MS;SCHOLARLY;;;
Faculdade de Lucas do Rio Verde;FVERDE;MT;SCHOLARLY;;;
Faculdade de Macapá;FAMA;AP;SCHOLARLY;;;
Faculdade de Mantena;FAMA;MG;SCHOLARLY;;;
