Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Escola Superior de Tecnologia e Educação de Rio Claro;ESRC;SP;SCHOLARLY;;;
Escola Superior Dom Helder Câmara;ESDHC;MG;SCHOLARLY;;;
Escola Superior Madre Celeste;ESMAC;PA;SCHOLARLY;;;
Escola Superior São Francisco de Assis;ESFA;ES;SCHOLARLY;;;
Faculdade Ad 1;Unisaber;DF;SCHOLARLY;;;
Faculdade Adelmar Rosado;FAR;PI;SCHOLARLY;;;
Faculdade Adventista de Administração do Nordeste;FAAD;BA;SCHOLARLY;;;
Faculdade Adventista de Educação do Nordeste;FAENE;BA;SCHOLARLY;;;
Faculdade Adventista de Educação e Ciências Humanas;FAECH;SP;SCHOLARLY;;;
Faculdade Adventista de Educação Física;FAEF;SP;SCHOLARLY;;;
Faculdade Adventista de Fisioterapia;FAFIS;BA;SCHOLARLY;;;
Faculdade Adventista Paranaense;IAP;PR;SCHOLARLY;;;
Faculdade Afirmativo;FAFI;MT;SCHOLARLY;;;
Faculdade Alagoana de Administração;FAA;AL;SCHOLARLY;;;
Faculdade Albert Einstein;FALBE;DF;SCHOLARLY;;;
Faculdade Albert Einstein de São Paulo;FAESP;SP;SCHOLARLY;;;
Faculdade Aldete Maria Alves;FAMA;MG;SCHOLARLY;;;
Faculdade Alfa;FA;SP;SCHOLARLY;;;
Faculdade Alfacastelo;FCGB;SP;SCHOLARLY;;;
Faculdade Alfredo Nasser;UNIFAN;GO;SCHOLARLY;;;
Faculdade Almeida Rodrigues;FAR;GO;SCHOLARLY;;;
Faculdade Alves Faria;ALFA;GO;SCHOLARLY;;;
Faculdade Alvorada de Educação Física e Desporto;FAEFD;DF;SCHOLARLY;;;
Faculdade Alvorada de Informática e Processamento de Dados;FAIPD;DF;SCHOLARLY;;;
Faculdade Alvorada de Tecnologia e Educação de Maringá;FACULDADE ALVORADA;PR;SCHOLARLY;;;
Faculdade Amadeus;FAMA;SE;SCHOLARLY;;;
